输入,交易方向,结算速度,对手方,交易日,债券代码,金额 (万),收益率 (%),备注
6. 230009 2.2625 5000 +0 东方证券 2k+ 华源证券 3k 出给 东营莱商村镇银行 5k请求,买入,T+0,东方证券,2026-05-28,230009,2000,2.2625,上家东方证券、华源证券，下家东营莱商村镇银行，履行做市商职责，上下家不偏离。
6. 230009 2.2625 5000 +0 东方证券 2k+ 华源证券 3k 出给 东营莱商村镇银行 5k请求,买入,T+0,华源证券,2026-05-28,230009,3000,2.2625,上家东方证券、华源证券，下家东营莱商村镇银行，履行做市商职责，上下家不偏离。
6. 230009 2.2625 5000 +0 东方证券 2k+ 华源证券 3k 出给 东营莱商村镇银行 5k请求,卖出,T+0,东营莱商村镇银行,2026-05-28,230009,5000,2.2625,上家东方证券、华源证券，下家东营莱商村镇银行，履行做市商职责，上下家不偏离。
1. 260205 1.784 4000 +0 盘县农联社 1K 请求 +武功县农信社 3K 请求 出给 上海攀赢基金公司,买入,T+0,盘县农联社,2026-05-28,260205,1000,1.784,上家盘县农联社、武功县农信社，下家上海攀赢基金公司，履行做市商职责，上下家不偏离。
1. 260205 1.784 4000 +0 盘县农联社 1K 请求 +武功县农信社 3K 请求 出给 上海攀赢基金公司,买入,T+0,武功县农信社,2026-05-28,260205,3000,1.784,上家盘县农联社、武功县农信社，下家上海攀赢基金公司，履行做市商职责，上下家不偏离。
1. 260205 1.784 4000 +0 盘县农联社 1K 请求 +武功县农信社 3K 请求 出给 上海攀赢基金公司,卖出,T+0,上海攀赢基金公司,2026-05-28,260205,4000,1.784,上家盘县农联社、武功县农信社，下家上海攀赢基金公司，履行做市商职责，上下家不偏离。
2. 250205 1.77 1E +0 赣州农商行 4K 请求 +陕西陇县农商行6K 请求 出给 汇添富基金5K 请求 + 潍坊银行 2K + 平安银行3K,买入,T+0,赣州农商行,2026-05-28,250205,4000,1.77,上家赣州农商行、陕西陇县农商行，下家汇添富基金、潍坊银行、平安银行，履行做市商职责，上下家不偏离。
2. 250205 1.77 1E +0 赣州农商行 4K 请求 +陕西陇县农商行6K 请求 出给 汇添富基金5K 请求 + 潍坊银行 2K + 平安银行3K,买入,T+0,陕西陇县农商行,2026-05-28,250205,6000,1.77,上家赣州农商行、陕西陇县农商行，下家汇添富基金、潍坊银行、平安银行，履行做市商职责，上下家不偏离。
2. 250205 1.77 1E +0 赣州农商行 4K 请求 +陕西陇县农商行6K 请求 出给 汇添富基金5K 请求 + 潍坊银行 2K + 平安银行3K,卖出,T+0,汇添富基金,2026-05-28,250205,5000,1.77,上家赣州农商行、陕西陇县农商行，下家汇添富基金、潍坊银行、平安银行，履行做市商职责，上下家不偏离。
2. 250205 1.77 1E +0 赣州农商行 4K 请求 +陕西陇县农商行6K 请求 出给 汇添富基金5K 请求 + 潍坊银行 2K + 平安银行3K,卖出,T+0,潍坊银行,2026-05-28,250205,2000,1.77,上家赣州农商行、陕西陇县农商行，下家汇添富基金、潍坊银行、平安银行，履行做市商职责，上下家不偏离。
2. 250205 1.77 1E +0 赣州农商行 4K 请求 +陕西陇县农商行6K 请求 出给 汇添富基金5K 请求 + 潍坊银行 2K + 平安银行3K,卖出,T+0,平安银行,2026-05-28,250205,3000,1.77,上家赣州农商行、陕西陇县农商行，下家汇添富基金、潍坊银行、平安银行，履行做市商职责，上下家不偏离。
3. 260005 1.73 1.3E +0 陕西榆林农商银行1E 请求+ 武功县农信社3K 请求 出给 上海攀赢基金公司 4K +申港证券 5K +常熟农村商行 4K,买入,T+0,陕西榆林农商银行,2026-05-28,260005,10000,1.73,上家陕西榆林农商银行、武功县农信社，下家上海攀赢基金公司、申港证券、常熟农村商行，履行做市商职责，上下家不偏离。
3. 260005 1.73 1.3E +0 陕西榆林农商银行1E 请求+ 武功县农信社3K 请求 出给 上海攀赢基金公司 4K +申港证券 5K +常熟农村商行 4K,买入,T+0,武功县农信社,2026-05-28,260005,3000,1.73,上家陕西榆林农商银行、武功县农信社，下家上海攀赢基金公司、申港证券、常熟农村商行，履行做市商职责，上下家不偏离。
3. 260005 1.73 1.3E +0 陕西榆林农商银行1E 请求+ 武功县农信社3K 请求 出给 上海攀赢基金公司 4K +申港证券 5K +常熟农村商行 4K,卖出,T+0,上海攀赢基金公司,2026-05-28,260005,4000,1.73,上家陕西榆林农商银行、武功县农信社，下家上海攀赢基金公司、申港证券、常熟农村商行，履行做市商职责，上下家不偏离。
3. 260005 1.73 1.3E +0 陕西榆林农商银行1E 请求+ 武功县农信社3K 请求 出给 上海攀赢基金公司 4K +申港证券 5K +常熟农村商行 4K,卖出,T+0,申港证券,2026-05-28,260005,5000,1.73,上家陕西榆林农商银行、武功县农信社，下家上海攀赢基金公司、申港证券、常熟农村商行，履行做市商职责，上下家不偏离。
3. 260005 1.73 1.3E +0 陕西榆林农商银行1E 请求+ 武功县农信社3K 请求 出给 上海攀赢基金公司 4K +申港证券 5K +常熟农村商行 4K,卖出,T+0,常熟农村商行,2026-05-28,260005,4000,1.73,上家陕西榆林农商银行、武功县农信社，下家上海攀赢基金公司、申港证券、常熟农村商行，履行做市商职责，上下家不偏离。
4. 260005 1.735 2000 +0 泾阳县农联社 请求 出给 上海攀赢基金公司,买入,T+0,泾阳县农联社,2026-05-28,260005,2000,1.735,上家泾阳县农联社，下家上海攀赢基金公司，履行做市商职责，上下家不偏离。
4. 260005 1.735 2000 +0 泾阳县农联社 请求 出给 上海攀赢基金公司,卖出,T+0,上海攀赢基金公司,2026-05-28,260005,2000,1.735,上家泾阳县农联社，下家上海攀赢基金公司，履行做市商职责，上下家不偏离。
5. 260005 1.7375 2000 +0 江苏沛县农商行 请求 出给 祁县农商银行 请求,买入,T+0,江苏沛县农商行,2026-05-28,260005,2000,1.7375,上家江苏沛县农商行，下家祁县农商银行，履行做市商职责，上下家不偏离。
5. 260005 1.7375 2000 +0 江苏沛县农商行 请求 出给 祁县农商银行 请求,卖出,T+0,祁县农商银行,2026-05-28,260005,2000,1.7375,上家江苏沛县农商行，下家祁县农商银行，履行做市商职责，上下家不偏离。
6. 260010 1.734 2000 +0 上海攀赢基金公司 出给 工银瑞信添利固定收益养老金产品 请求,买入,T+0,上海攀赢基金公司,2026-05-28,260010,2000,1.734,上家上海攀赢基金公司，下家工银瑞信添利固定收益养老金产品，履行做市商职责，上下家不偏离。
6. 260010 1.734 2000 +0 上海攀赢基金公司 出给 工银瑞信添利固定收益养老金产品 请求,卖出,T+0,工银瑞信添利固定收益养老金产品,2026-05-28,260010,2000,1.734,上家上海攀赢基金公司，下家工银瑞信添利固定收益养老金产品，履行做市商职责，上下家不偏离。
1、 2400004 2.26 3000 +0 平安证券 出给 平安银行,买入,T+0,平安证券,2026-05-28,2400004,3000,2.26,上家平安证券，下家平安银行，履行做市商职责，上下家不偏离。
1、 2400004 2.26 3000 +0 平安证券 出给 平安银行,卖出,T+0,平安银行,2026-05-28,2400004,3000,2.26,上家平安证券，下家平安银行，履行做市商职责，上下家不偏离。
2、 260010 1.734 1000 +0 平安银行 出给 平安证券,买入,T+0,平安银行,2026-05-28,260010,1000,1.734,上家平安银行，下家平安证券，履行做市商职责，上下家不偏离。
2、 260010 1.734 1000 +0 平安银行 出给 平安证券,卖出,T+0,平安证券,2026-05-28,260010,1000,1.734,上家平安银行，下家平安证券，履行做市商职责，上下家不偏离。
3、 260007 1.576 3000 +0 陕西丹凤农商银行 出给 三原县农信社,买入,T+0,陕西丹凤农商银行,2026-05-28,260007,3000,1.576,上家陕西丹凤农商银行，下家三原县农信社，履行做市商职责，上下家不偏离。
3、 260007 1.576 3000 +0 陕西丹凤农商银行 出给 三原县农信社,卖出,T+0,三原县农信社,2026-05-28,260007,3000,1.576,上家陕西丹凤农商银行，下家三原县农信社，履行做市商职责，上下家不偏离。
4、29.18Y 2505749 25重庆债37 2.29 5000 +0 陕西秦农农商银行 出给 中国人寿资产,买入,T+0,陕西秦农农商银行,2026-05-28,2505749,5000,2.29,上家陕西秦农农商银行，下家中国人寿资产，履行做市商职责，上下家不偏离。
4、29.18Y 2505749 25重庆债37 2.29 5000 +0 陕西秦农农商银行 出给 中国人寿资产,卖出,T+0,中国人寿资产,2026-05-28,2505749,5000,2.29,上家陕西秦农农商银行，下家中国人寿资产，履行做市商职责，上下家不偏离。
1) 28.91Y 2500002 2.208 2E 05.28+0 内蒙古农商银行2E 出给 广东华兴银行5K+ 平安证券5K+ 上海农商银行5K+ 华福证券5K,买入,T+0,内蒙古农商银行,2026-05-28,2500002,20000,2.208,上家内蒙古农商银行，下家广东华兴银行、平安证券、上海农商银行、华福证券，履行做市商职责，上下家不偏离。
1) 28.91Y 2500002 2.208 2E 05.28+0 内蒙古农商银行2E 出给 广东华兴银行5K+ 平安证券5K+ 上海农商银行5K+ 华福证券5K,卖出,T+0,广东华兴银行,2026-05-28,2500002,5000,2.208,上家内蒙古农商银行，下家广东华兴银行、平安证券、上海农商银行、华福证券，履行做市商职责，上下家不偏离。
1) 28.91Y 2500002 2.208 2E 05.28+0 内蒙古农商银行2E 出给 广东华兴银行5K+ 平安证券5K+ 上海农商银行5K+ 华福证券5K,卖出,T+0,平安证券,2026-05-28,2500002,5000,2.208,上家内蒙古农商银行，下家广东华兴银行、平安证券、上海农商银行、华福证券，履行做市商职责，上下家不偏离。
1) 28.91Y 2500002 2.208 2E 05.28+0 内蒙古农商银行2E 出给 广东华兴银行5K+ 平安证券5K+ 上海农商银行5K+ 华福证券5K,卖出,T+0,上海农商银行,2026-05-28,2500002,5000,2.208,上家内蒙古农商银行，下家广东华兴银行、平安证券、上海农商银行、华福证券，履行做市商职责，上下家不偏离。
1) 28.91Y 2500002 2.208 2E 05.28+0 内蒙古农商银行2E 出给 广东华兴银行5K+ 平安证券5K+ 上海农商银行5K+ 华福证券5K,卖出,T+0,华福证券,2026-05-28,2500002,5000,2.208,上家内蒙古农商银行，下家广东华兴银行、平安证券、上海农商银行、华福证券，履行做市商职责，上下家不偏离。
2) 28.91Y 2500002 2.21 3E 05.28+0 内蒙古农商银行3E 出给 成都银行1.7E+ 申港证券3K+ 潍坊银行5K+ 财信证券5K,买入,T+0,内蒙古农商银行,2026-05-28,2500002,30000,2.21,上家内蒙古农商银行，下家成都银行、申港证券、潍坊银行、财信证券，履行做市商职责，上下家不偏离。
2) 28.91Y 2500002 2.21 3E 05.28+0 内蒙古农商银行3E 出给 成都银行1.7E+ 申港证券3K+ 潍坊银行5K+ 财信证券5K,卖出,T+0,成都银行,2026-05-28,2500002,17000,2.21,上家内蒙古农商银行，下家成都银行、申港证券、潍坊银行、财信证券，履行做市商职责，上下家不偏离。
2) 28.91Y 2500002 2.21 3E 05.28+0 内蒙古农商银行3E 出给 成都银行1.7E+ 申港证券3K+ 潍坊银行5K+ 财信证券5K,卖出,T+0,申港证券,2026-05-28,2500002,3000,2.21,上家内蒙古农商银行，下家成都银行、申港证券、潍坊银行、财信证券，履行做市商职责，上下家不偏离。
2) 28.91Y 2500002 2.21 3E 05.28+0 内蒙古农商银行3E 出给 成都银行1.7E+ 申港证券3K+ 潍坊银行5K+ 财信证券5K,卖出,T+0,潍坊银行,2026-05-28,2500002,5000,2.21,上家内蒙古农商银行，下家成都银行、申港证券、潍坊银行、财信证券，履行做市商职责，上下家不偏离。
2) 28.91Y 2500002 2.21 3E 05.28+0 内蒙古农商银行3E 出给 成都银行1.7E+ 申港证券3K+ 潍坊银行5K+ 财信证券5K,卖出,T+0,财信证券,2026-05-28,2500002,5000,2.21,上家内蒙古农商银行，下家成都银行、申港证券、潍坊银行、财信证券，履行做市商职责，上下家不偏离。
3) 9.28Y 250220 1.799 3000 05.28+0 辽宁农商银行3K 出给 江海证券2K+ 兴业证券1K,买入,T+0,辽宁农商银行,2026-05-28,250220,3000,1.799,上家辽宁农商银行，下家江海证券、兴业证券，履行做市商职责，上下家不偏离。
3) 9.28Y 250220 1.799 3000 05.28+0 辽宁农商银行3K 出给 江海证券2K+ 兴业证券1K,卖出,T+0,江海证券,2026-05-28,250220,2000,1.799,上家辽宁农商银行，下家江海证券、兴业证券，履行做市商职责，上下家不偏离。
3) 9.28Y 250220 1.799 3000 05.28+0 辽宁农商银行3K 出给 江海证券2K+ 兴业证券1K,卖出,T+0,兴业证券,2026-05-28,250220,1000,1.799,上家辽宁农商银行，下家江海证券、兴业证券，履行做市商职责，上下家不偏离。
4) 9.78Y 260205 1.785 2000 05.28+0 夏津农商银行 出给 江苏建湖农商行,买入,T+0,夏津农商银行,2026-05-28,260205,2000,1.785,上家夏津农商银行，下家江苏建湖农商行，履行做市商职责，上下家不偏离。
4) 9.78Y 260205 1.785 2000 05.28+0 夏津农商银行 出给 江苏建湖农商行,卖出,T+0,江苏建湖农商行,2026-05-28,260205,2000,1.785,上家夏津农商银行，下家江苏建湖农商行，履行做市商职责，上下家不偏离。
5) 9.78Y 260205 1.803 2000 05.28+0 常熟农村商行 出给 陕西杨凌农商行,买入,T+0,常熟农村商行,2026-05-28,260205,2000,1.803,上家常熟农村商行，下家陕西杨凌农商行，履行做市商职责，上下家不偏离。
5) 9.78Y 260205 1.803 2000 05.28+0 常熟农村商行 出给 陕西杨凌农商行,卖出,T+0,陕西杨凌农商行,2026-05-28,260205,2000,1.803,上家常熟农村商行，下家陕西杨凌农商行，履行做市商职责，上下家不偏离。
6) 29.25Y 2500006 2.2525 2000 05.28+0 浙江丽水莲都农商行 出给 重庆三峡银行,买入,T+0,浙江丽水莲都农商行,2026-05-28,2500006,2000,2.2525,上家浙江丽水莲都农商行，下家重庆三峡银行，履行做市商职责，上下家不偏离。
6) 29.25Y 2500006 2.2525 2000 05.28+0 浙江丽水莲都农商行 出给 重庆三峡银行,卖出,T+0,重庆三峡银行,2026-05-28,2500006,2000,2.2525,上家浙江丽水莲都农商行，下家重庆三峡银行，履行做市商职责，上下家不偏离。
1） 260205 1.802 5000 +0 宝鸡渭滨农商银行 出给 勉县农联社,买入,T+0,宝鸡渭滨农商银行,2026-05-28,260205,5000,1.802,上家宝鸡渭滨农商银行，下家勉县农联社，履行做市商职责，上下家不偏离。
1） 260205 1.802 5000 +0 宝鸡渭滨农商银行 出给 勉县农联社,卖出,T+0,勉县农联社,2026-05-28,260205,5000,1.802,上家宝鸡渭滨农商银行，下家勉县农联社，履行做市商职责，上下家不偏离。
2） 260205 1.7925 5000 +0 江门农商银行 出给 方正证券,买入,T+0,江门农商银行,2026-05-28,260205,5000,1.7925,上家江门农商银行，下家方正证券，履行做市商职责，上下家不偏离。
2） 260205 1.7925 5000 +0 江门农商银行 出给 方正证券,卖出,T+0,方正证券,2026-05-28,260205,5000,1.7925,上家江门农商银行，下家方正证券，履行做市商职责，上下家不偏离。
3） 230022 1.235 9000 +0 青海循化农商银行（请求，青海循化农商银行) 出给 东亚银行上海（对话),买入,T+0,青海循化农商银行,2026-05-28,230022,9000,1.235,上家青海循化农商银行，下家东亚银行上海，履行做市商职责，上下家不偏离。
3） 230022 1.235 9000 +0 青海循化农商银行（请求，青海循化农商银行) 出给 东亚银行上海（对话),卖出,T+0,东亚银行上海,2026-05-28,230022,9000,1.235,上家青海循化农商银行，下家东亚银行上海，履行做市商职责，上下家不偏离。
